ident,type,latitude_deg,longitude_deg,elevation_ft
IAG,TACAN,43.11249924,-78.96029663,635
IAH,VORTAC,29.95689964,-95.34570313,90
ICT,VORTAC,37.74530029,-97.58380127,1471
IDA,VOR-DME,43.51900101,-112.064003,4724
IDU,VORTAC,29.95610046,-96.56220245,419
IFI,VORTAC,35.80530167,-98.00389862,1110
IFM,VOR,31.42869949,-83.48889923,350
IGB,VORTAC,33.48550034,-88.51360321,240
IGM,VOR-DME,35.26050186,-113.9339981,3410
IGN,VOR-DME,41.66550064,-73.82230377,580
IHD,VORTAC,39.9742012,-79.35839844,2820
IIK,VOR-DME,59.94279861,-164.0339966,0
IIP,VOR-DME,42.67610168,-105.2259979,4900
IIU,VORTAC,38.10350037,-85.57740021,720
IJX,VOR-DME,39.77640152,-90.23870087,615
IKK,VOR-DME,41.07440186,-87.84980011,625
ILA,VORTAC,39.07109833,-122.0270004,50
ILC,VORTAC,38.25019836,-114.3939972,9318
ILI,NDB-DME,59.7478981,-154.9100037,168
ILL,VOR-DME,45.11750031,-95.09059906,1120
ILM,VORTAC,34.35169983,-77.87439728,20
ILR,VOR-DME,43.5931015,-118.9550018,4140
IMB,VORTAC,44.64839935,-119.711998,5220
IMT,VOR-DME,45.81600189,-88.11209869,1130
INA,VOR-DME,40.89929962,-117.8119965,4302
INK,VORTAC,31.87479973,-103.2440033,2860
INL,VORTAC,48.56579971,-93.40570068,1180
INS,TACAN,36.58499908,-115.6699982,3101
INW,VORTAC,35.06159973,-110.7949982,4910
IOW,VORTAC,41.51900101,-91.61329651,770
IPL,VORTAC,32.74890137,-115.5090027,-20
IRK,VORTAC,40.13499832,-92.59169769,985
IRQ,VORTAC,33.70740128,-82.16210175,428
IRW,VORTAC,35.35860062,-97.60919952,1230
ISD,VOR,43.48789978,-99.76139832,2355
ISN,VORTAC,48.25329971,-103.7509995,2372
ISO,VORTAC,35.37099838,-77.5582962,70
ISQ,VOR-DME,45.9762001,-86.17340088,680
ITH,VOR-DME,42.49499893,-76.45970154,1110
ITO,VORTAC,19.72130013,-155.0110016,23
IWA,VORTAC,33.30319977,-111.651001,1370
IWD,VORTAC,46.53229904,-90.12580109,1230
JAC,VOR-DME,43.62099838,-110.7320023,6452
JAN,VORTAC,32.50749969,-90.16770172,360
JAY,VOR-DME,43.57630157,-92.91970062,1232
JBR,VOR-DME,35.87490082,-90.58850098,247
JCT,VORTAC,30.59799957,-99.81749725,2280
JEN,VORTAC,32.1595993,-97.87770081,1300
JFK,VOR-DME,40.63290024,-73.77140045,11
JFN,VOR-DME,41.76010132,-80.74810028,900
JHW,VOR-DME,42.18859863,-79.12129974,1790
JKS,VOR-DME,35.59899902,-88.35890198,630
JLI,VORTAC,33.14049911,-116.5859985,5560
JMS,VOR-DME,46.93289948,-98.67880249,1490
JNC,VORTAC,39.05960083,-108.7929993,7100
JOH,VOR-DME,60.48099899,-146.598999,47
JOT,VORTAC,41.54639816,-88.31839752,593
JPU,VORTAC,39.44120026,-81.37480164,1030
JST,VORTAC,40.31669998,-78.834198,2280
JVL,VOR-DME,42.55799866,-89.1053009,900
JWJ,VOR-DME,42.1114006,-92.9088974,981
JXN,VOR-DME,42.25920105,-84.45850372,1000
JYU,VOR-DME,32.34460068,-86.99130249,160
KKA,NDB-DME,64.93199921,-161.147995,74
KOA,VORTAC,19.71723889,-156.0449203,36
KSY,TACAN,29.39159966,-98.58100128,687
LAA,VORTAC,38.19710159,-102.6880035,3944
LAL,VORTAC,27.98620033,-82.01390076,135
LAN,VORTAC,42.7173996,-84.6977005,880
LAR,VORTAC,41.33789825,-105.7210007,7280
LAS,VORTAC,36.07970047,-115.1600037,2141
LAW,VOR-DME,34.49620056,-98.4131012,1100
LAX,VORTAC,33.93310165,-118.4319992,182
LBB,VORTAC,33.70489883,-101.9140015,3310
LBF,VORTAC,41.04859924,-100.7470016,3050
LBL,VORTAC,37.04439926,-100.9710007,2890
LBT,VOR,34.6106987,-79.05480194,126
LBV,VORTAC,26.82819939,-81.3914032,30
LBY,VORTAC,31.41869926,-89.33760071,290
LCH,VORTAC,30.14150047,-93.10559845,20
LCK,TACAN,39.80820084,-82.92880249,732
LCU,VORTAC,41.36299896,-113.8410034,4400
LDK,VORTAC,33.25889969,-87.53690338,370
LDN,VORTAC,38.85440063,-78.20559692,2440
LEB,VOR-DME,43.67890167,-72.2161026,1460
LEM,VOR,45.91970062,-102.1039963,2570
LEV,VORTAC,29.17519951,-90.10399628,2
LFD,VOR-DME,42.0625,-84.76509857,1040
LFI,TACAN,37.08560181,-76.35939789,11
LFK,VORTAC,31.16239929,-94.71700287,200
LFT,VORTAC,30.19379997,-91.99259949,37
LFV,VOR-DME,42.01720047,-70.03730011,152
LGA,VOR-DME,40.78789902,-73.87709808,10
LGC,VORTAC,33.04909897,-85.20619965,790
LGU,VOR-DME,41.84410095,-111.8649979,4466
LHO,VOR-DME,41.79290009,-112.0100021,5358
LHS,VORTAC,34.68299866,-118.5770035,5790
LHY,VORTAC,41.47579956,-75.48259735,2320
LIA,VOR,42.98270035,-115.7740021,2990
LIB,VORTAC,35.81159973,-79.61260223,830
LIH,VORTAC,21.96529961,-159.3379974,110
LIN,VORTAC,38.07460022,-121.0039978,260
LIT,VORTAC,34.67770004,-92.18049622,240
LJT,VOR-DME,43.10979843,-88.03730011,750
LKI,TACAN,46.84500122,-92.18509674,1430
LKT,VOR-DME,45.02130127,-114.0839996,9258
LKV,VORTAC,42.49280167,-120.5070038,7460
LLA,VOR-DME,29.66320038,-92.37359619,40
LLC,VORTAC,40.12490082,-118.5780029,4784
LLO,VORTAC,30.79630089,-98.78739929,1200
LMN,VORTAC,40.59669876,-93.96759796,1140
LMT,VORTAC,42.15309906,-121.7279968,4087
LNK,VORTAC,40.92380142,-96.74199677,1370
LNN,VOR-DME,41.68439865,-81.38950348,620
LNR,VOR-DME,43.29439926,-90.13310242,1184
LNY,VORTAC,20.76449966,-156.9689941,1250
LOA,VORTAC,31.12400055,-95.96800232,350
LOZ,VORTAC,37.03310013,-84.11009979,1240
LRD,VORTAC,27.47870064,-99.41770172,580
LRF,TACAN,34.91809845,-92.15769958,328
LRP,VORTAC,40.11999893,-76.29129791,400
LSE,VOR-DME,43.87609863,-91.2559967,650
LSF,VOR-DME,32.33240128,-84.99330139,250
LSV,TACAN,36.24470139,-115.0250015,1864
LTJ,VOR-DME,45.71360016,-121.1009979,3220
LTS,VORTAC,34.66289902,-99.27120209,1370
LUF,TACAN,33.53770065,-112.3799973,1076
LUR,NDB-DME,68.87110138,-166.076004,125
LVD,VOR-DME,56.46770096,-133.0829926,100
LVL,VORTAC,36.81800079,-77.90299988,350
LVM,VORTAC,45.70249939,-110.4420013,4650
LVT,VORTAC,36.58459854,-85.16660309,1020
LVZ,VORTAC,41.27280045,-75.6894989,2120
LWB,VOR-DME,37.86380005,-80.39199829,2319
LWL,VOR,41.14479828,-114.9779968,5905
LWM,VOR-DME,42.74039841,-71.09480286,299
LWT,VORTAC,47.0530014,-109.6060028,4133
LWV,VOR-DME,38.76990128,-87.60379791,429
LYH,VORTAC,37.25460052,-79.2365036,880
LZZ,VORTAC,31.18549919,-98.14189911,1290
MAD,VOR-DME,41.31380081,-72.69219971,230
MAF,VORTAC,32.00930023,-102.1900024,2860
MAH,VOR,41.01509857,-83.66470337,831
MAI,VORTAC,30.78619957,-85.12449646,120
MAP,VORTAC,37.59080124,-91.78859711,1370
MAW,VORTAC,36.55509949,-89.91139984,280
MBL,VOR-DME,44.27069855,-86.2539978,618
MBS,VOR-DME,43.53160095,-84.07720184,670
MBW,VOR-DME,41.84550095,-106.0039978,7000
MCB,VORTAC,31.30450058,-90.2582016,440
MCC,VOR-DME,38.66740036,-121.4039993,72
MCF,TACAN,27.86120033,-82.5134964,14
MCG,VORTAC,62.95100021,-155.6109924,350
MCI,VORTAC,39.28530121,-94.73709869,1017
MCK,VOR-DME,40.2038002,-100.5940018,2571
MCM,VOR-DME,39.65409851,-92.48220062,870
MCN,VORTAC,32.69120026,-83.64720154,350
MCW,VORTAC,43.09469986,-93.32990265,1210
MDO,VOR-DME,59.42179871,-146.3500061,121
MEE,VOR,35.66320038,-95.36769867,610
MEI,VORTAC,32.37850189,-88.8042984,580
MEM,VORTAC,35.01509857,-89.98320007,360
MFD,VORTAC,40.86859894,-82.59100342,1210
MFE,VOR-DME,26.1739006,-98.24079895,100
MGM,VORTAC,32.22230148,-86.31970215,270
MGR,VOR-DME,31.08230019,-83.80419922,290
MGW,VORTAC,39.55670166,-79.86039734,2340
MHE,VOR-DME,43.77700043,-98.03759766,1301
MHF,VOR-DME,29.54630089,-94.74749756,38
MHK,VOR-DME,39.145401,-96.66870117,1044
MHT,VOR-DME,42.86849976,-71.36949921,469
MIB,TACAN,48.41540146,-101.3659973,1668
MIE,VOR-DME,40.23730087,-85.39399719,940
MIJ,TACAN,40.1916008,-112.9219971,4372
MIP,VORTAC,41.02339935,-76.66529846,1000
MJF,TACAN,33.06629944,-96.06140137,540
MKG,VORTAC,43.16930008,-86.03929901,660
MKK,VORTAC,21.13809967,-157.1670074,1421
MKL,VOR-DME,35.60359955,-88.91040039,410
MKT,VOR-DME,44.21989822,-93.91239929,1020
MLB,VOR-DME,28.1053009,-80.63529968,30
MLC,VORTAC,34.84949875,-95.78230286,820
MLD,VOR-DME,42.19990158,-112.4509964,7330
MLF,VORTAC,38.36040115,-113.0130005,4980
MLP,VOR-DME,47.45690155,-115.6460037,6100
MLS,VORTAC,46.38219833,-105.9540024,2640
MLT,VOR-DME,45.58670044,-68.51550293,550
MLU,VORTAC,32.51689911,-92.03600311,80
MMJ,VORTAC,40.48820114,-80.19390106,1200
MML,VOR-DME,44.44839859,-95.82479858,1180
MMM,VORTAC,36.76929855,-114.2770004,2120
MMT,VORTAC,33.92409897,-80.80239868,249
MNM,VOR-DME,45.18009949,-87.64720154,650
MOD,VOR-DME,37.62730026,-120.9580002,90
MOL,VOR-DME,37.90050125,-79.10690308,3460
MON,VOR-DME,33.56209946,-91.71569824,280
MOP,VOR-DME,43.62279892,-84.73729706,752
MOS,VOR-DME,64.69650269,-162.0709991,14
MOT,VORTAC,48.26029968,-101.2870026,1691
MOX,VOR-DME,45.56579971,-95.96920013,1132
MPV,VOR-DME,44.08549881,-72.44940186,2080
MQG,VOR-DME,46.38159943,-116.8700027,1720
MQO,VORTAC,35.25230026,-120.7600021,1463
MQP,VORTAC,32.7262001,-97.99739838,900
MRB,VORTAC,39.38560104,-77.8483963,600
MRF,VOR-DME,30.29840088,-103.9550018,4830
MSL,VORTAC,34.70690155,-87.49150085,580
MSN,VORTAC,43.14479828,-89.33969879,860
MSO,VOR-DME,46.90800095,-114.0839996,3203
MSP,VOR-DME,44.89649963,-93.2365036,831
MSS,VORTAC,44.91439819,-74.72270203,200
MTC,TACAN,42.61299896,-82.83180237,580
MTJ,VOR-DME,38.50640106,-107.8990021,5710
MTN,TACAN,39.33089828,-76.41130066,20
MTO,VOR-DME,39.47800064,-88.28610229,720
MTU,VORTAC,40.14920044,-110.1279984,5396
MTW,VOR-DME,44.12850189,-87.67990112,650
MUE,VOR-DME,19.99810028,-155.6699982,2670
MUO,TACAN,43.04050064,-115.875,3000
MVA,VORTAC,38.56529999,-118.0329971,7860
MVC,VORTAC,31.46039963,-87.35279846,417
MVE,VOR-DME,44.97269821,-95.71199799,1034
MVY,VOR-DME,41.39619827,-70.61270142,59
MWA,VOR-DME,37.75419998,-89.01170349,490
MWH,VOR-DME,47.21089935,-119.3170013,1177
MXE,VORTAC,39.91809845,-75.67079926,474
MXF,TACAN,32.37929916,-86.36830139,170
MXQ,VOR-DME,39.42969894,-83.80120087,1050
MXW,VORTAC,39.31760025,-122.2220001,110
MYS,VOR,37.89410019,-86.24449921,790
MYV,VOR-DME,39.09859848,-121.572998,60
MZB,VORTAC,32.78219986,-117.2249985,12
MZV,VORTAC,41.32109833,-90.63809967,820
MZZ,VOR-DME,40.49340057,-85.67919922,850
NBC,TACAN,32.47900009,-80.71730042,49
NBS,TACAN,22.03759956,-159.7850037,10
NCA,TACAN,34.70709991,-77.44029999,74
NEL,TACAN,40.03699875,-74.35310364,144
NFG,TACAN,33.2743988,-117.387001,560
NFL,TACAN,39.41690063,-118.7050018,3929
NFW,TACAN,32.77149963,-97.4394989,663
NGF,TACAN,21.45050049,-157.7640076,47
NGP,VORTAC,27.68630028,-97.29470062,20
NGS,TACAN,30.61490059,-86.9375,80
NGU,TACAN,36.93999863,-76.27729797,45
NHZ,TACAN,43.87350082,-69.92189789,181
NID,TACAN,35.68790054,-117.6900024,2272
NIP,TACAN,30.23489952,-81.67510223,20
NJK,TACAN,32.83179855,-115.6809998,-50
NJM,TACAN,34.6896019,-77.02719879,24
NJW,TACAN,32.79510117,-88.83529663,540
NKT,TACAN,34.90219879,-76.87480164,30
NKX,TACAN,32.86970139,-117.1549988,430
NLC,TACAN,36.34410095,-119.9660034,231
NMM,TACAN,32.57849884,-88.54530334,310
NOG,TACAN,27.89529991,-98.04260254,241
NPA,TACAN,30.3579998,-87.3164978,24
NQI,TACAN,27.4993,-97.80549622,46
NQX,TACAN,24.58009911,-81.68229675,16
NRB,TACAN,30.3885994,-81.42310333,9
NRS,TACAN,32.56420135,-117.1100006,20
NSD,TACAN,32.88000107,-118.4410019,2000
NSE,TACAN,30.72400093,-87.01799774,179
NSI,TACAN,33.23509979,-119.4580002,521
NTD,TACAN,34.12329865,-119.1220016,6
NTU,TACAN,36.82419968,-76.03700256,64
NUC,TACAN,33.02690125,-118.5800018,161
NUD,TACAN,51.87129974,-176.673996,379
NUN,VOR,30.47220039,-87.33580017,80
NUQ,TACAN,37.43239975,-122.0579987,0
NUW,TACAN,48.35490036,-122.6620026,51
NXP,TACAN,34.29669952,-116.1569977,2006
NXX,TACAN,40.19449997,-75.14630127,360
NYL,TACAN,32.64680099,-114.612999,193
NZY,TACAN,32.70259857,-117.2160034,25
OAB,VOR-DME,38.75619888,-109.7490005,4570
OAK,VORTAC,37.72589874,-122.223999,10
OAL,VORTAC,38.00329971,-117.7699966,4800
OBH,VORTAC,41.3757019,-98.35359955,2010
OBK,VOR-DME,42.2215004,-87.95179749,758
OCF,VORTAC,29.17749977,-82.2263031,80
OCN,VORTAC,33.24060059,-117.4179993,53
OCS,VORTAC,41.59019852,-109.0149994,6780
ODF,VORTAC,34.69589996,-83.29769897,1700
ODG,VOR-DME,36.37379837,-97.7881012,1150
ODI,VORTAC,43.91239929,-91.46759796,1280
ODK,VORTAC,57.77500153,-152.3399963,130
ODR,VOR,37.32440186,-79.97899628,1160
OED,VORTAC,42.479599,-122.913002,2080
OFF,TACAN,41.11719894,-95.90000153,1090
OFK,VOR-DME,41.98789978,-97.43460083,1540
OGD,VORTAC,41.22409821,-112.0979996,4223
OGG,VORTAC,20.90649986,-156.4210052,30
OJC,VOR-DME,38.84059906,-94.73680115,1034
OKK,VORTAC,40.52780151,-86.05799866,830
OKM,VOR-DME,35.69309998,-95.86599731,766
OKW,VORTAC,33.23960114,-87.25,649
OLK,VOR,41.24689865,-85.49739838,970
OLM,VORTAC,46.97159958,-122.9020004,200
OLS,VOR-DME,31.41500092,-110.848999,3870
OLT,NDB-DME,60.47499847,-150.8789978,250
OLU,VOR-DME,41.45000076,-97.34079742,1442
OME,VOR-DME,64.48509979,-165.253006,100
OMN,VORTAC,29.30330086,-81.11270142,19
ONA,VOR-DME,44.07619858,-91.70570374,650
ONL,VORTAC,42.47050095,-98.68689728,2030
ONM,VORTAC,34.33890152,-106.8199997,4910
ONP,VORTAC,44.57540131,-124.060997,150
OOD,VORTAC,39.63600159,-75.3030014,140
OOM,VORTAC,39.14379883,-86.61299896,850
OQK,NDB-DME,67.57189941,-162.973999,82
ORD,VOR-DME,41.98770142,-87.9048996,650
ORF,VORTAC,36.89189911,-76.20030212,20
ORL,VORTAC,28.54269981,-81.33499908,109
ORT,VORTAC,62.94720078,-141.9129944,1178
ORW,VOR-DME,41.5564003,-71.99939728,310
OSH,VORTAC,43.99039841,-88.55590057,780
OSI,VORTAC,37.39250183,-122.2809982,2270
OSW,VORTAC,37.15750122,-95.20359802,930
OTB,VOR-DME,34.22389984,-88.79730225,360
OTG,VOR-DME,43.64690018,-95.58190155,1570
OTH,VORTAC,43.41550064,-124.1679993,707
OTK,VOR-DME,30.78039932,-83.27970123,199
OTM,VOR-DME,41.02909851,-92.32589722,820
OTO,VOR,35.07220078,-105.935997,6290
OTT,VORTAC,38.70589828,-76.74469757,210
OTZ,VOR-DME,66.88569641,-162.5399933,120
OVR,VORTAC,41.16730118,-95.73670197,1300
OWB,VOR-DME,37.74359894,-87.16590118,400
OXI,VOR-DME,41.3219986,-86.64929962,690
OYN,NDB-DME,64.51280212,-165.4329987,56
OZB,VOR,40.87039948,-100.0039978,2500
OZN,VOR-DME,37.08810043,-113.5920029,2901
OZR,VOR-DME,31.2689991,-85.7263031,326
PAE,VOR-DME,47.9197998,-122.2779999,670
PAM,TACAN,30.0739994,-85.57240295,14
PBF,VOR-DME,34.24679947,-91.92620087,210
PBI,VORTAC,26.68009949,-80.08650208,19
PCU,VOR-DME,30.56119919,-89.73049927,70
PDK,VOR-DME,33.87559891,-84.29879761,970
PDN,NDB-DME,56.95399857,-158.6490021,86
PDT,VORTAC,45.69839859,-118.939003,1559
PDX,VOR-DME,45.59370041,-122.6060028,23
PDZ,VORTAC,33.91830063,-117.5299988,1432
PEQ,VOR-DME,31.46929932,-103.5749969,2650
PER,VORTAC,36.74649811,-97.16010284,1060
PFN,VORTAC,30.21619987,-85.68090057,10
PGA,VOR-DME,36.93099976,-111.4469986,4277
PGD,VOR,26.91679955,-81.99120331,22
PGO,VORTAC,34.68050003,-94.60900116,2700
PGS,VORTAC,35.62469864,-113.5439987,4760
PGY,VORTAC,32.61029816,-116.9789963,580
PHK,VORTAC,26.78269958,-80.69139862,20
PHP,VOR-DME,44.05820084,-101.6640015,2340
PIA,VORTAC,40.68009949,-89.7928009,730
PIE,VORTAC,27.90780067,-82.68430328,9
PIH,VORTAC,42.87039948,-112.6520004,4433
PIO,VOR-DME,32.52920151,-105.3050003,6580
PIR,VORTAC,44.39450073,-100.163002,1790
PKD,VOR-DME,46.89820099,-95.07089996,1440
PKE,VORTAC,34.10200119,-114.6819992,1000
PLB,VORTAC,44.68489838,-73.52269745,343
PLL,VOR-DME,41.96559906,-89.52420044,840
PLN,VORTAC,45.63059998,-84.66410065,840
PMD,VORTAC,34.63140106,-118.064003,2500
PMM,VOR-DME,42.46549988,-86.10579681,640
PNE,VOR,40.08209991,-75.0094986,110
PNH,VORTAC,35.23509979,-101.6989975,3592
PNN,VOR-DME,45.32920074,-67.70420074,400
PNT,VOR-DME,40.82120132,-88.73349762,679
POB,TACAN,35.16849899,-79.0196991,240
POM,VORTAC,34.07839966,-117.7870026,1270
PPM,VOR-DME,39.46670151,-76.17099762,41
PQI,VOR-DME,46.77420044,-68.09449768,590
PQN,NDB-DME,43.98609924,-96.29640198,1778
PRB,VORTAC,35.67240143,-120.6269989,820
PRX,VOR-DME,33.54240036,-95.44830322,510
PSB,VORTAC,40.91630173,-77.99269867,2440
PSC,VOR-DME,46.26300049,-119.1159973,404
PSI,VORTAC,42.70090103,-83.53279877,1148
PSK,VORTAC,37.08769989,-80.71289825,2120
PSM,VORTAC,43.08449936,-70.83200073,99
PSP,VORTAC,33.86999893,-116.4300003,1600
PSX,VORTAC,28.76440048,-96.30619812,15
PTW,VORTAC,40.22230148,-75.56030273,290
PUB,VORTAC,38.29430008,-104.4290009,4760
PUC,VOR-DME,39.60319901,-110.7539978,5891
PUT,VOR-DME,41.95550156,-71.84410095,650
PUW,VOR-DME,46.67430115,-117.223999,2720
PVD,VORTAC,41.72430038,-71.42960358,49
PVU,VOR-DME,40.21490097,-111.7210007,4493
PVW,VOR-DME,34.08620071,-101.7900009,3400
PWA,VOR-DME,35.53290176,-97.64720154,1270
PWE,VORTAC,40.20040131,-96.20629883,1360
PWL,VOR-DME,41.76979828,-73.60050201,1250
PXN,VORTAC,36.71549988,-120.7789993,2060
PXR,VORTAC,33.43299866,-111.9700012,1182
PXT,VORTAC,38.28779984,-76.40019989,20
PXV,VORTAC,37.92829895,-87.76239777,430
PYE,VORTAC,38.07979965,-122.8679962,1340
PZD,VORTAC,31.65519905,-84.29309845,280
RAL,VOR,33.95199966,-117.4489975,762
RAP,VORTAC,43.97600174,-103.012001,3160
RAV,VORTAC,40.55339813,-76.59940338,1750
RBA,VOR-DME,39.85079956,-95.42310333,1126
RBG,VOR-DME,43.18239975,-123.3519974,1320
RBL,VORTAC,40.09889984,-122.2360001,322
RBS,VOR-DME,40.58169937,-88.16429901,780
RBV,VORTAC,40.20240021,-74.49500275,250
RBX,VOR-DME,35.92050171,-75.69689941,10
RCA,TACAN,44.13899994,-103.1019974,3200
RDD,VOR-DME,40.50460052,-122.2919998,490
RDR,TACAN,47.9571991,-97.40579987,951
RDU,VORTAC,35.87250137,-78.78330231,429
RDY,TACAN,39.2132988,-106.8580017,8000
REC,VOR-DME,40.54650116,-78.74700165,2340
REO,VORTAC,42.59049988,-117.8679962,4050
RFD,VOR-DME,42.2256012,-89.19930267,860
RHI,VORTAC,45.63380051,-89.45780182,1590
RIC,VORTAC,37.50230026,-77.32029724,159
RID,VORTAC,39.75510025,-84.83879852,1135
RIL,VOR-DME,39.52809906,-107.7160034,5529
RIS,VOR-DME,39.12039948,-94.59660339,740
RIV,TACAN,33.90650177,-117.2750015,1540
RIW,VOR-DME,43.06570053,-108.4560013,5450
RKA,VOR-DME,42.46630096,-75.23919678,2032
RLG,VOR-DME,40.00260162,-106.4420013,9370
RLY,VOR-DME,43.96409988,-107.9509964,4190
RMG,VORTAC,34.16260147,-85.11940002,1150
RND,VORTAC,29.51919937,-98.28520203,773
RNL,VOR,37.97529984,-80.8065033,3350
ROA,VORTAC,37.34339905,-80.07039642,3060
ROC,VORTAC,43.12070084,-77.67359924,549
ROD,VORTAC,40.28779984,-84.04309845,1080
ROM,VOR,36.14039993,-120.6650009,3880
ROX,VOR-DME,48.85469818,-95.69499969,1059
RPD,VOR-DME,45.41519928,-91.77799988,1092
RQR,VOR-DME,30.08749962,-90.58860016,7
RQZ,VORTAC,34.79710007,-86.6339035,1200
RRS,VORTAC,31.28440094,-85.43119812,360
RSG,VORTAC,30.01460075,-100.3000031,2310
RSK,VORTAC,36.74840164,-108.098999,5823
RST,VOR-DME,43.78290176,-92.59690094,1380
RSV,VOR-DME,39.01810074,-87.64859772,490
RSW,VORTAC,26.5298996,-81.77580261,25
RUT,VOR-DME,43.52659988,-72.95069885,781
RWF,VOR-DME,44.46720123,-95.12830353,1060
RWL,VOR-DME,41.80479813,-107.2040024,6750
RYM,TACAN,46.0909996,-94.35500336,1149
RZC,VORTAC,36.24639893,-94.12139893,1331
RZN,VOR-DME,45.82040024,-92.37449646,987
RZS,VORTAC,34.5094986,-119.7710037,3620
SAC,VORTAC,38.4435997,-121.552002,10
SAE,VOR-DME,41.11909866,-101.776001,3256
SAF,VORTAC,35.54050064,-106.0650024,6263
SAM,VOR-DME,38.48519897,-88.08580017,540
SAT,VORTAC,29.6439991,-98.46130371,1160
SAU,VORTAC,37.8553009,-122.5230026,1040
SAV,VORTAC,32.14630127,-81.19909668,9
SAW,VOR-DME,46.35889816,-87.39720154,1220
SAX,VORTAC,41.06750107,-74.53829956,1410
SBI,VOR-DME,29.68670082,-94.03800201,10
SBJ,VOR-DME,40.58300018,-74.74169922,190
SBV,VORTAC,36.67499924,-79.01450348,530
SBY,VORTAC,38.34500122,-75.51059723,50
SCB,VOR-DME,41.6053009,-96.62860107,1317
SCC,VOR-DME,70.19920349,-148.4160004,74
SDO,VORTAC,41.40710068,-118.0350037,4161
SDZ,VORTAC,35.2154007,-79.58799744,590
SEA,VORTAC,47.4353981,-122.3099976,354
SEG,VORTAC,40.79079819,-76.88400269,620
SEY,VOR-DME,41.16740036,-71.57610321,100
SFK,VOR-DME,41.69530106,-77.41989899,1990
SFL,VORTAC,31.74810028,-105.086998,3730
SFO,VOR-DME,37.61949921,-122.3740005,13
SGD,VORTAC,38.1794014,-122.3730011,10
SGF,VORTAC,37.35589981,-93.33399963,1240
SGH,VOR-DME,39.83649826,-83.84500122,1050
SGJ,VOR-DME,29.95669937,-81.33039856,10
SHB,VORTAC,39.63259888,-85.82430267,810
SHP,TACAN,33.98260117,-98.48729706,1020
SHR,VORTAC,44.84230042,-107.060997,4410
SHY,VOR-DME,38.04059982,-92.60240173,910
SIE,VORTAC,39.09550095,-74.8003006,10
SJC,VOR-DME,37.37469864,-121.9449997,43
SJI,VORTAC,30.72599983,-88.35929871,190
SJN,VORTAC,34.42409897,-109.1439972,6840
SJT,VORTAC,31.375,-100.4550018,1890
SKA,TACAN,47.6106987,-117.6620026,2460
SKE,TACAN,38.54539871,-89.85160065,482
SKY,VOR-DME,41.43450165,-82.65480042,580
SLI,VORTAC,33.78329849,-118.0550003,23
SLK,VOR-DME,44.38460159,-74.20449829,1650
SLN,VORTAC,38.92509842,-97.62139893,1310
SLR,VOR-DME,33.19860077,-95.54260254,480
SLT,VORTAC,41.51279831,-77.9701004,2320
SMO,VOR-DME,34.0102005,-118.4570007,114
SNS,VORTAC,36.66379929,-121.6029968,101
SNY,VORTAC,41.09669876,-102.9830017,4300
SOK,VORTAC,21.90040016,-159.529007,630
SOT,VORTAC,35.7901001,-83.05239868,4239
SPA,VORTAC,35.03369904,-81.92710114,910
SPI,VORTAC,39.83969879,-89.67769623,587
SPS,VORTAC,33.98730087,-98.59349823,1100
SPW,VOR-DME,43.16220093,-95.2009964,1330
SPY,NDB-DME,57.15779877,-170.2310028,43
SQA,VOR-DME,61.0984993,-155.6349945,2501
SQS,VORTAC,33.46390152,-90.27729797,125
SRI,NDB-DME,56.57389832,-169.647995,97
SRQ,VORTAC,27.39780045,-82.5542984,20
SSC,TACAN,33.97779846,-80.46620178,241
SSF,VOR,29.25839996,-98.4434967,540
SSI,VORTAC,31.05050087,-81.44599915,10
SSM,VOR-DME,46.41199875,-84.31490326,690
SSO,VORTAC,32.26919937,-109.2630005,3600
SSR,VORTAC,58.17770004,-135.2590027,50
SSU,VOR,37.76390076,-80.3015976,3330
STC,VOR-DME,45.54930115,-94.05860138,1025
STE,VORTAC,44.54320145,-89.5306015,1110
STJ,VORTAC,39.96060181,-94.92520142,1160
STL,VORTAC,38.8606987,-90.48239899,450
STS,VOR-DME,38.5080986,-122.810997,120
STV,VORTAC,30.20680046,-98.70580292,1530
STW,VOR-DME,40.99580002,-74.8690033,920
SUG,VORTAC,35.40650177,-82.26860046,3970
SUU,TACAN,38.24560165,-121.9449997,32
SUX,VORTAC,42.3445015,-96.32360077,1087
SVC,VORTAC,32.63769913,-108.1610031,5423
SVM,VORTAC,42.40890121,-83.59410095,950
SVN,VOR-DME,32.01190186,-81.14089966,40
SWB,VOR-DME,31.97319984,-92.67710114,164
SWL,VORTAC,38.05659866,-75.46389771,40
SWO,VOR-DME,36.22430038,-97.08129883,1020
SWR,VOR-DME,39.18030167,-120.2699966,8850
SXC,VORTAC,33.37509918,-118.4199982,2090
SXW,VOR-DME,39.62950134,-106.9909973,8060
SYA,VORTAC,52.71829987,174.0619965,68
SYI,VOR-DME,35.56200027,-86.43920135,810
SYO,VORTAC,35.34519958,-99.63529968,1990
SYR,VORTAC,43.16049957,-76.20459747,420
SZL,TACAN,38.7356987,-93.55039978,850
SZW,VORTAC,30.55620003,-84.37400055,180
TAL,VOR-DME,65.17710114,-152.1779938,390
TAS,VORTAC,36.60879898,-105.9059982,7860
TAY,VORTAC,30.50460052,-82.55290222,140
TBC,VORTAC,36.12129974,-111.2699966,5045
TBD,VORTAC,29.66430092,-90.82910156,10
