BOS,BOS BLZZR3 BLZZR BAF Q448 PTW J48 MOL DIRTY3 ATL,ATL,1100-0300,,,H,,,TURBOJETS ONLY: DME/DME/IRU OR GPS REQUIRED,,2,ZBW,ZTL
BOS,BOS PATSS4 PATSS NELIE CMK J75 MXE V378 NUGGY TRISH2 BWI,BWI,1100-0300,,,H,,,TURBOJETS ONLY,,1,ZBW,ZDC
BOS,BOS BOSOX V1 GRAYM V14 ORW V16 ENO V268 BAL BWI,BWI,,,,TEC,NO SATS,HIGHEST ALTITUDE 10000,,,1,ZBW,ZDC
BOS,BOS BOSOX V1 MAD BEADS V268 BWI,BWI,,,,TEC,,HIGHEST ALTITUDE 10000,,,2,ZBW,ZDC
BOS,BOS V268 HTO CCC V16 V44 V268 BWI,BWI,,,,TEC,BOS/OWD/1B9/3B9,10000`,PREFERRED SINGLE ENGINE ONLY,,3,ZBW,ZDC
BOS,BOS V268 BWI,BWI,,,,TEC,BOS/OWD/1B9/3B9,10000`,,,4,ZBW,ZDC
BOS,BOS HYLND4 HYLND CAM Q822 GONZZ JOSSY HAGAR CXR CXR3 CLE,CLE,1100-0300,,,H,,,TURBOJETS ONLY: DME/DME/IRU OR GPS REQUIRED,,1,ZBW,ZOB
BOS,BOS HYLND MHT V490 UCA V2 SYR V84 GEE V464 V115 TDT V72 V232 CXR CLE,CLE,,,,L,,11000`-17000`,,,1,ZBW,ZOB
BOS,BOS PATSS4 PATSS NELIE CMK J75 GVE LYH CHSLY1 CLT,CLT,1100-0300,,,H,,,,,1,ZBW,ZTL
BOS,BOS SSOXS4 SSOXS BUZRD SEY HTO J174 ZIZZI ATR LAFLN DEALE2 DCA,DCA,1100-0300,,,H,,,TURBOJETS,,2,ZBW,ZDC
BOS,BOS BURDY V268 HTO V308 BILIT CAPKO DCA,DCA,1100-0300,,,L,,80-170 INCL,NON-TURBOJET,,1,ZBW,ZDC
