ATLDCAVR,KATL,KDCA,MCN,KATL VRSTY1 MCN DBN TWINS CAE J52 RDU FUUFF WAVES CAPSS2 KDCA,ZTL,ZDC,ZDC ZJX ZTL,Y,,2
ATLDENHA,KATL,KDEN,SARGE,KATL HAALO1 SARGE EUF ARNNY IGB LIT RZC PER GCK KIISS JAGGR3 KDEN,ZTL,ZDV,ZDV ZKC ZME ZTL,Y,,2
ATLDENPE,KATL,KDEN,JAACE,KATL PENCL1 JAACE BNA ARG RZC PER GCK KIISS JAGGR3 KDEN,ZTL,ZDV,ZDV ZKC ZME ZTL,Y,,2
ATLDENRP,KATL,KDEN,HANKO,KATL CUTTN1 HANKO MEM PER GCK KIISS JAGGR3 KDEN,ZTL,ZDV,ZDV ZKC ZME ZTL,N,,2
ATLDFW8S,KATL,KDFW,SOTWO,KATL SOTWO CSG GCV AEX PNUTS BEREE1 KDFW,ZTL,ZFW,ZFW ZHU ZTL,N,,1
ATLDFW9N,KATL,KDFW,NOONE,KATL NOONE GQO BNA MEM J66 LIT FEWWW SEEVR3 KDFW,ZTL,ZFW,ZFW ZME ZTL,N,,1
ATLDFWAP,KATL,KDFW,WEONE,KATL WEONE J239 JAMMR MEI MLU YUYUN BEREE1 KDFW,ZTL,ZFW,ZFW ZME ZTL,N,,1
ATLDFWHA,KATL,KDFW,SARGE,KATL HAALO1 SARGE GCV AEX PNUTS BEREE1 KDFW,ZTL,ZFW,ZFW ZHU ZTL,Y,,2
ATLDFWPE,KATL,KDFW,PENCL,KATL PENCL1 PENCL LEDRR JAACE MEM J66 LIT FEWWW SEEVR3 KDFW,ZTL,ZFW,ZFW ZME ZTL,Y,,2
ATLDFWRP,KATL,KDFW,STNGA,KATL KAJIN1 STNGA MLU YUYUN BEREE1 KDFW,ZTL,ZFW,ZFW ZME ZTL,N,,2
ATLDTW8W,KATL,KDTW,WETWO,KATL WETWO VUZ BNA J39 HICKI DQN MIZAR3 KDTW,ZTL,ZOB,ZID ZME ZOB ZTL,N,,1
ATLDTW9E,KATL,KDTW,EAONE,KATL EAONE SPA HNN WEEDA2 KDTW,ZTL,ZOB,ZID ZOB ZTL,N,,1
ATLDTWAP,KATL,KDTW,NOTWO,KATL NOTWO VXV J91 BULEY HNN WEEDA2 KDTW,ZTL,ZOB,ZID ZOB ZTL,N,,1
ATLDTWCU,KATL,KDTW,HANKO,KATL CUTTN1 HANKO GAD RQZ BNA J39 IIU VHP FWA MIZAR3 KDTW,ZTL,ZOB,ZAU ZID ZME ZOB ZTL,Y,,2
ATLDTWPL,KATL,KDTW,SPA,KATL PLMMR1 SPA HNN WEEDA2 KDTW,ZTL,ZOB,ZID ZOB ZTL,Y,,2
ATLDTWRP,KATL,KDTW,SMTTH,KATL PADGT1 SMTTH Q67 JONEN HNN WEEDA2 KDTW,ZTL,ZOB,ZID ZOB ZTL,N,,2
ATLEWR8N,KATL,KEWR,NOTWO,KATL NOTWO J91 VXV J91 TONIO J42 GVE DYLIN4 KEWR,ZTL,ZNY,ZDC ZID ZNY ZTL,Y,,1
ATLEWRAP,KATL,KEWR,EAONE,KATL EAONE SPA J14 CREWE J51 FAK DYLIN4 KEWR,ZTL,ZNY,ZDC ZNY ZTL,N,,1
ATLEWRPA,KATL,KEWR,RAFTN,KATL PADGT1 RAFTN FLM J43 ROD KLYNE Q29 DORET J584 SLT FQM3 KEWR,ZTL,ZNY,ZID ZNY ZOB ZTL,Y,,2
ATLEWRRP,KATL,KEWR,SPA,KATL PLMMR1 SPA Q22 BEARI FAK PHLBO3 KEWR,ZTL,ZNY,ZDC ZNY ZTL,N,,2
ATLEWRSK,KATL,KEWR,BOBBD,KATL SMKEY1 BOBBD Q71 KONGO BKW J42 GVE PHLBO3 KEWR,ZTL,ZNY,ZDC ZID ZNY ZTL,Y,,2
ATLEWRVR,KATL,KEWR,MCN,KATL VRSTY1 MCN DBN TWINS VAN FLO J207 RDU FAK PHLBO3 KEWR,ZTL,ZNY,ZDC ZJX ZNY ZTL,Y,,2
ATLFLL9W,KATL,KFLL,WEONE,KATL WEONE MGM SZW J43 PIE FORTL5 KFLL,ZTL,ZMA,ZJX ZMA ZTL,N,,1
ATLFLLAP,KATL,KFLL,SOONE,KATL SOONE J89 HITTR J75 TEPEE FORTL5 KFLL,ZTL,ZMA,ZJX ZMA ZTL,N,,1
ATLFLLGA,KATL,KFLL,IRQ,KATL GAIRY1 IRQ SAV J103 OMN FISEL6 KFLL,ZTL,ZMA,ZJX ZMA ZTL,Y,,2
