BURNI,40.6568444444,-77.8039138889
TYROO,40.735,-78.3313888889
LNDIZ,37.1122583333,-81.7527583333
KD48Q,38.0,-110.0
SINSY,38.7838722222,-108.707433333
PITMN,39.1007444444,-107.308611111
PAYTN,31.467875,-87.8855305556
THHMP,37.4915194444,-77.3190972222
KEMAN,39.8605027778,-80.0417083333
CREWE,37.0230138889,-78.2176722222
TYDOE,32.821375,-81.5616361111
CEGRM,39.5181666667,-85.4850111111
GEEKY,32.2795333333,-99.8836361111
STUFT,31.4943333333,-95.933975
JESIE,40.0235333333,-106.875422222
DIESL,30.9644916667,-98.8421138889
PHEEB,40.2641194444,-89.2733444444
BENKY,41.5118305556,-88.7090166667
MYRRS,42.5238944444,-92.059925
DRRVR,32.1752472222,-109.290508333
BRIGS,39.5235333333,-74.1387972222
CELTS,42.213075,-70.8145833333
NELIE,41.9410111111,-72.6885777778
ZIZZI,38.9406833333,-74.5289638889
LAFLN,38.7909444444,-75.5132555556
DUNKN,31.9782944444,-81.9654388889
GONZZ,43.0894444444,-76.6866666667
WWSHR,41.3428027778,-82.0516
BARTL,34.3031777778,-78.6514944444
KONGO,37.5054055556,-82.1368222222
STVEY,31.69215,-96.9572055556
CEBEE,36.8813388889,-76.1581972222
WETRO,36.3874944444,-76.4427277778
AYBID,28.3249111111,-79.2625305556
FANPO,38.4236777778,-78.2308888889
NIOLA,34.7832194444,-85.2705805556
ALEAN,36.7318527778,-81.6239388889
GEFFS,39.01385,-80.8138472222
YOCKY,37.6541083333,-84.1562361111
GROAT,36.7490805556,-85.4049027778
EHMAN,43.1421055556,-78.3548194444
NUGGY,39.7429333333,-76.0061694444
KERYN,40.3778305556,-76.2723916667
TRISH,39.5034527778,-76.3738861111
HUBBS,37.9618805556,-76.6459833333
WEAVR,35.8538583333,-77.1343027778
KEATN,40.9313972222,-81.6555888889
JOSSY,42.8916472222,-77.0435555556
HAGAR,41.4607,-80.2544972222
FOXEE,41.1938527778,-80.4955805556
LEJOY,40.0033944444,-79.4148916667
EMNEM,39.5242,-80.0745027778
KLYNE,40.6984611111,-83.312275
COLNS,38.8404111111,-79.1968361111
MAULL,40.9216472222,-79.3291638889
KODIE,40.4688666667,-80.3315416667
DIRRK,34.1380111111,-93.7764305556
SHILO,39.6833888889,-76.6148916667
CANDR,40.9709861111,-74.9598277778
HANAA,43.1977944444,-73.612825
HOCKE,43.26205,-82.7106305556
COLTS,42.9636638889,-79.3206055556
BOREK,42.9375,-79.9475
AXXIS,42.8305861111,-81.9833805556
FEWWW,34.1955694444,-93.9022916667
YUYUN,32.451475,-92.9130944444
BFOLO,34.0594388889,-86.5251361111
JRHED,33.8050527778,-94.4088611111
GOATR,43.2905777778,-76.6521527778
POLAR,42.8374083333,-83.7354388889
MOBBS,42.1252333333,-73.2601638889
SAGES,42.0462027778,-74.3195361111
COATE,41.1362277778,-74.6951666667
GEDIC,40.1461388889,-73.2019416667
BERGH,39.1324555556,-72.0515777778
AZEZU,37.8744722222,-72.3786666667
PAEPR,35.042,-72.4165833333
BAHAA,30.423,-78.9946583333
CRANS,28.3035444444,-79.5338027778
KEMPR,36.7494555556,-76.4887555556
HARES,33.0,-91.7333333333
COLZI,36.2276083333,-80.5087666667
DEBIE,34.9302944444,-81.8089055556
BGRED,33.8456277778,-83.6830194444
RYMES,41.1916666667,-73.5307555556
HAARP,41.1163527778,-73.5934833333
VALRE,41.4353277778,-73.8817361111
SASHA,42.1329722222,-73.1487194444
LAAYK,41.4757333333,-75.4825861111
WILSS,40.275975,-77.4863166667
AVALO,39.2818111111,-74.5140972222
KROLL,39.3001305556,-77.3666527778
CHOPS,38.7616138889,-75.96005
TAPPA,37.9701833333,-76.8446166667
RINTE,40.2878083333,-84.0429194444
ESENT,32.1578138889,-80.9177166667
ARCAV,40.96605,-71.7987833333
PARCH,41.0992277778,-72.1207388889
ROBER,40.6854638889,-73.0326111111
CREEP,39.9209111111,-84.308725
UNCKL,37.4813555556,-84.7163305556
DORET,41.8016388889,-80.5846222222
CLAWD,36.4191611111,-81.1471527778
HIBAC,29.0940638889,-79.5679583333
ASHEN,41.4804916667,-84.64675
BAGEL,41.515975,-85.6136888889
JAARE,35.7388194444,-83.5416
TALLO,34.7059638889,-87.5117722222
WASER,34.2073722222,-88.0288416667
JENKS,30.6353583333,-78.6954416667
JORAY,28.3428138889,-79.0349666667
ALPHE,42.4359,-84.5099166667
BRAVE,42.6986583333,-87.3493416667
MTCAF,41.7698166667,-76.5223833333
RAAKK,42.3997222222,-78.9108333333
RUBYY,43.0177194444,-84.5878388889
SUDDS,43.14365,-87.3649916667
KAMMA,43.117375,-88.2852305556
KELTI,43.2825,-78.9333333333
ZOHAN,43.9325,-84.3858333333
CEWDA,44.8088888889,-88.55
WATSN,41.2834527778,-86.0353361111
EMPTY,39.9632972222,-83.1869444444
COSSY,41.5329916667,-70.9505305556
VINSE,39.9711694444,-77.9558888889
KONJE,41.8206944444,-77.1092833333
BINKS,39.0519555556,-77.0298805556
JMACK,33.9885027778,-78.9665833333
INYOE,37.8956222222,-118.764991667
SLLAP,43.4500833333,-84.9388305556
HUFFR,45.1468416667,-93.4915722222
DKOTA,45.3713888889,-97.6241666667
MRRLO,38.8975472222,-122.578233333
KNGRY,38.0115555556,-117.557855556
SKOVE,39.7754555556,-91.2195861111
CASIO,40.9203444444,-82.4307166667
FYLLS,39.9067527778,-84.6305111111
LEEAH,39.2609083333,-74.9530583333
PENSY,39.9072111111,-76.1825361111
KATZN,36.9686777778,-76.7834027778
